ds,yhat,yhat_lower,yhat_upper
2024-10-03,7053.303968768612,255.11686663847183,14086.342627448677
2024-10-04,6530.506263483029,-260.2926917030792,13520.313329957804
2024-10-05,6951.88931846095,13.095251587635556,13371.096506032489
2024-10-06,8155.929966505237,1316.2690293912408,14902.765440229854
2024-10-07,7072.232682891427,614.6851493042901,14025.947145992091
2024-10-08,6502.818223700676,-405.9890500035742,13340.335899896376
2024-10-09,6623.780410746784,272.85490833293744,13533.1565461248
2024-10-10,6954.4882008658415,239.69444721099032,13655.806637715003
2024-10-11,6407.703947107208,-422.2874522453763,12907.473474464397
2024-10-12,6807.881375567097,308.11924441223795,13626.677158213995
2024-10-13,7994.802762795898,709.3003300928549,14351.320053774934
2024-10-14,6899.253959115547,-328.3565810330502,13312.59267561976
2024-10-15,6324.279120734427,-660.516292534533,12857.097319088918
2024-10-16,6446.808211889757,-189.52287302142258,13483.237367124826
2024-10-17,6786.83515965034,133.11807773725596,13805.526823223105
2024-10-18,6257.518158626766,-645.1172444245308,13198.25732496466
2024-10-19,6683.466070586938,-119.82226934860893,13346.64066266925
2024-10-20,7904.37064751086,1059.448394371435,14089.100145143993
2024-10-21,6850.683285219843,224.23686938836585,13733.967782154388
2024-10-22,6324.878051611651,12.588668451366193,13553.60547303497
2024-10-23,6503.093756967571,-95.00156194328306,13534.96131831973
2024-10-24,6904.332491058062,390.21364846198327,13689.151088071594
2024-10-25,6440.585517164894,-463.267543003278,12500.15882605489
2024-10-26,6935.1497305123285,197.37349413499936,13993.035791146114
2024-10-27,8226.29356382925,1730.1219453646104,14927.348240558806
2024-10-28,7242.970117824323,861.0432914688754,14307.258680603421
2024-10-29,6786.118274058093,-210.4396062335007,13712.609991571433
2024-10-30,7030.343541801606,269.6100575856438,13903.573502663106
2024-10-31,7493.155046142145,786.3938142687798,14390.871015982033
2024-11-01,7085.12855590201,176.66935909022362,14068.488458690937
2024-11-02,7628.257819357549,889.7300424884288,14328.236022613723
2024-11-03,8959.652227564382,2200.6960448783666,15806.190770091109
2024-11-04,8007.277816580606,869.0156216000936,14290.803315144343
2024-11-05,7571.281719750739,1091.4928248396743,14360.573960633452
2024-11-06,7825.691301630972,932.832602174782,13930.806694882669
2024-11-07,8287.664006893383,1464.8138356547358,15255.770464219904
2024-11-08,7867.65759633302,778.9384750807186,14694.100520741395
2024-11-09,8387.782963503618,1413.24846590061,15086.127006097056
2024-11-10,9685.497626972316,2861.725644516321,16204.915018850239
2024-11-11,8689.337130365648,1951.935454231422,15458.870422105983
2024-11-12,8200.224813039702,1665.802991977316,15022.209987390475
2024-11-13,8393.151661367596,1798.90241694643,15652.68078406721
2024-11-14,8786.402853881169,2011.9449295538404,15329.851728658236
2024-11-15,8291.701341127593,1380.732184832441,15126.999604086335
2024-11-16,8732.531388666746,1769.8375595834345,15381.817558748271
2024-11-17,9947.800958227926,2855.417673463302,16808.678675068968
2024-11-18,8867.540961954059,1894.924738577729,15815.779257457489
2024-11-19,8294.182656109797,1753.858097366384,15570.311254118968
2024-11-20,8404.205666745427,1864.6826413036558,15647.682917853725
2024-11-21,8717.334002251748,2490.1407642432955,15322.196306637246
2024-11-22,8146.651075886415,1302.2837922601623,15056.860927665068
2024-11-23,8516.897273504042,1829.4184489959573,15323.354272979454
2024-11-24,9668.109459680143,2947.64151995829,16386.976087959367
2024-11-25,8531.300876015968,1367.0433267193189,16247.947753131202
2024-11-26,7909.723010743424,895.4941815375914,14694.97765514516
2024-11-27,7980.502134592745,1124.5910099639225,15009.832929749396
2024-11-28,8263.827949689105,1486.4000982238285,14600.41841845499
2024-11-29,7673.065358143258,677.9816152122014,14258.870349971798
2024-11-30,8033.052766856101,1101.006443603888,14461.110039423605
2024-12-01,9183.746108376572,2164.392882730516,15776.117331911311
2024-12-02,8055.9067361514735,1234.1870603008733,14699.179011666167
2024-12-03,7452.374403844486,668.673906187279,14520.119086105427
2024-12-05,7867.438228543111,1468.635388260125,14446.542195739437
2024-12-06,7318.101117638584,1158.3934064645762,14394.46217569966
2024-12-07,7725.651324509184,817.1718046466151,13995.381621908271
2024-12-08,8929.077863782804,2416.2693294133487,15742.552988196785
2024-12-09,7858.121568965832,672.1740470547049,14365.289437213145
2024-12-10,7314.56783844937,399.5596436987725,14022.060305985178
2024-12-11,7473.916131012353,843.8003827327539,13774.925976828332
2024-12-12,7854.602834518431,873.4885116549938,14846.07654389131
2024-12-13,7368.147722914322,674.4021141040049,14401.92916302221
2024-12-14,7837.486677072925,633.7534433717705,14364.37606691333
2024-12-15,9100.649176567831,2160.935178825834,15772.55384955383
2024-12-16,8086.47812823226,2348.252784590633,14863.793828227002
2024-12-17,7595.932743021913,1169.252438252137,14636.523199571213
2024-12-18,7803.766329899139,1115.0539389045107,14895.596335661785
2024-12-19,8227.755685595526,1210.6902616625944,14706.98496554279
2024-12-20,7778.852392484273,1212.5460977269158,14589.633487012276
2024-12-21,8279.518830611134,1557.0349191728249,15112.787436930996
2024-12-22,9567.407565278803,2972.573656947099,16234.227231053468
2024-12-23,8571.081844632845,1894.1694340967854,15051.608994130474
2024-12-24,8091.318091835821,1817.4578490674892,14646.42122529528
2024-12-25,8302.782429241784,1728.8548541414752,15382.12579054926
2024-12-26,8723.2580694784,1580.6726752184384,15258.094935619947
2024-12-27,8263.794021992378,1635.7112770678066,15134.040947231528
2024-12-28,8747.03803217621,1854.8916903554168,15541.573317301407
2024-12-29,10010.91249647638,3570.8272863433717,16746.538601567543
2024-12-30,8984.33113838264,2121.398604608232,15795.096998282399
2024-12-31,8468.497348854007,1873.8916769761047,15233.975651438723
2025-01-01,8638.57621681487,1921.0270763391054,15145.31367119529
2025-01-02,9012.917047051376,2520.4430082574318,15630.460372544525
2025-01-03,8503.196752591311,1823.4123481102833,15106.287387645943
2025-01-04,8932.746962370222,2577.464863647074,15496.233953281351
2025-01-05,10140.223501846169,3458.0302456019417,17019.775437266668
2025-01-06,9055.31594484405,2271.257722217544,15913.83007621118
2025-01-07,8480.038061050176,2056.8155343283306,15179.927844589976
2025-01-08,8590.391121749737,1711.3462538620472,15321.907131224922
2025-01-09,8905.576820975599,2298.038040493958,15637.133313677969
2025-01-10,8338.130191661396,2235.6969480160815,15523.779193501161
2025-01-11,8712.23538651827,2330.436385398466,15599.883271392884
2025-01-12,9867.3830528012,3025.6688937113277,17005.944521418798
2025-01-13,8734.067116510256,1966.8839576889934,15492.221778972771
2025-01-14,8115.061964330095,1219.0773816285327,15066.764195280097
2025-01-15,8187.072196218544,1362.2458355243696,15003.785700812867
2025-01-16,8469.931959583935,1888.0777373152287,14917.477040989015
2025-01-17,7876.724537116588,1007.9741859197104,15269.207912219494
2025-01-18,8232.085382428331,1092.7498683485783,14634.618963833253
